"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"23/10/2024","15.615,0","15.595,0","15.636,0","15.586,0","","0,39%"
"22/10/2024","15.555,0","15.530,0","15.575,0","15.527,5","","0,42%"
"21/10/2024","15.490,0","15.460,0","15.502,5","15.425,0","","0,19%"
"18/10/2024","15.460,0","15.515,0","15.522,5","15.443,5","","-0,19%"
"17/10/2024","15.490,0","15.545,0","15.555,0","15.485,0","","-0,10%"
"16/10/2024","15.505,0","15.545,0","15.561,0","15.507,5","","-0,45%"
"15/10/2024","15.575,0","15.555,0","15.584,0","15.532,5","","0,13%"
"14/10/2024","15.555,0","15.590,0","15.615,0","15.557,5","","-0,13%"
"11/10/2024","15.575,0","15.665,0","15.672,5","15.577,5","","-0,54%"
"10/10/2024","15.660,0","15.655,0","15.677,5","15.632,5","","0,29%"
"09/10/2024","15.615,0","15.625,0","15.640,0","15.580,0","","-0,16%"
"08/10/2024","15.640,0","15.685,0","15.701,5","15.625,0","","-0,22%"
"07/10/2024","15.675,0","15.625,0","15.700,0","15.625,0","","1,26%"
"04/10/2024","15.480,0","15.495,0","15.532,5","15.467,5","","0,42%"
"03/10/2024","15.415,0","15.327,5","15.437,5","15.305,0","","1,02%"
"02/10/2024","15.260,0","15.200,0","15.285,0","15.200,0","","0,43%"
"01/10/2024","15.195,0","15.175,0","15.212,5","15.167,5","","0,40%"
"30/09/2024","15.135,0","15.125,0","15.192,5","15.109,0","","0,10%"
"27/09/2024","15.120,0","15.100,0","15.160,0","15.082,5","","-0,26%"
"26/09/2024","15.160,0","15.130,0","15.187,5","15.122,5","","0,43%"
"25/09/2024","15.095,0","15.115,0","15.127,5","15.065,0","","-0,56%"
"24/09/2024","15.180,0","15.195,0","15.212,5","15.172,5","","-0,10%"
"23/09/2024","15.195,0","15.145,0","15.212,5","15.137,5","","0,33%"
"20/09/2024","15.145,0","15.130,0","15.152,5","15.070,0","","-0,56%"
"19/09/2024","15.230,0","15.345,0","15.357,5","15.232,5","","-0,65%"
"18/09/2024","15.330,0","15.325,0","15.360,0","15.312,5","","0,00%"
"17/09/2024","15.330,0","15.370,0","15.375,0","15.315,0","","-0,41%"
"16/09/2024","15.393,1","15.400,0","15.408,5","15.354,0","","-0,01%"
"13/09/2024","15.395,0","15.417,5","15.455,0","15.390,0","","-0,19%"
"12/09/2024","15.425,0","15.415,0","15.446,5","15.400,0","","0,19%"
"11/09/2024","15.395,0","15.440,0","15.440,0","15.395,0","","-0,32%"
"10/09/2024","15.445,0","15.475,0","15.485,0","15.431,5","","-0,03%"
"09/09/2024","15.450,0","15.475,0","15.485,0","15.416,0","","0,59%"
"06/09/2024","15.360,0","15.390,0","15.398,5","15.352,0","","-0,23%"
"05/09/2024","15.395,0","15.422,5","15.432,5","15.394,0","","-0,48%"
"04/09/2024","15.470,0","15.530,0","15.542,5","15.470,0","","-0,32%"
"03/09/2024","15.520,0","15.547,5","15.583,5","15.522,5","","0,00%"
"02/09/2024","15.520,0","15.497,5","15.555,0","15.492,5","","0,45%"
"30/08/2024","15.450,0","15.450,0","15.490,0","15.437,5","","0,26%"
"29/08/2024","15.410,0","15.420,0","15.447,5","15.367,5","","-0,06%"
"28/08/2024","15.420,0","15.517,5","15.532,5","15.420,0","","-0,45%"
"27/08/2024","15.490,0","15.480,0","15.545,0","15.460,0","","0,42%"
"26/08/2024","15.425,0","15.341,0","15.435,0","15.295,0","","-0,39%"
"23/08/2024","15.485,0","15.635,0","15.662,5","15.425,0","","-0,71%"
"22/08/2024","15.595,0","15.505,0","15.642,5","15.505,0","","0,74%"
"21/08/2024","15.480,0","15.450,0","15.500,0","15.422,0","","0,32%"
"20/08/2024","15.430,0","15.515,0","15.522,5","15.420,0","","-0,74%"
"19/08/2024","15.545,0","15.635,0","15.656,5","15.550,0","","-0,89%"
"16/08/2024","15.685,0","15.755,0","15.759,0","15.675,0","","-0,03%"
"15/08/2024","15.690,0","15.615,0","15.720,0","15.615,0","","0,10%"
"14/08/2024","15.675,0","15.725,0","15.737,5","15.665,0","","-0,98%"
"13/08/2024","15.830,0","15.935,0","15.962,5","15.824,5","","-0,75%"
"12/08/2024","15.950,0","15.940,0","15.985,0","15.925,0","","0,19%"
"09/08/2024","15.920,0","15.937,5","15.945,0","15.884,0","","0,19%"
"08/08/2024","15.890,0","16.005,0","16.012,5","15.894,0","","-0,87%"
"07/08/2024","16.030,0","16.160,0","16.177,5","16.021,5","","-0,80%"
"06/08/2024","16.160,0","16.210,0","16.215,0","16.165,0","","-0,12%"
"05/08/2024","16.180,0","16.180,0","16.197,5","16.122,5","","-0,09%"
"02/08/2024","16.195,0","16.260,0","16.281,5","16.194,5","","-0,22%"
"01/08/2024","16.230,0","16.255,0","16.270,0","16.210,0","","-0,15%"
"31/07/2024","16.255,0","16.305,0","16.323,0","16.259,0","","-0,25%"
"30/07/2024","16.295,0","16.305,0","16.332,5","16.290,0","","0,12%"
"29/07/2024","16.275,0","16.290,0","16.295,0","16.266,5","","-0,06%"
"26/07/2024","16.285,0","16.287,5","16.302,5","16.267,5","","0,25%"
"25/07/2024","16.245,0","16.237,5","16.276,0","16.230,0","","0,22%"
"24/07/2024","16.210,0","16.220,0","16.232,5","16.210,0","","0,03%"
"23/07/2024","16.205,0","16.215,0","16.222,5","16.185,0","","-0,06%"
"22/07/2024","16.215,0","16.210,0","16.237,5","16.205,0","","0,19%"
"19/07/2024","16.185,0","16.195,0","16.225,0","16.175,0","","0,22%"
"18/07/2024","16.150,0","16.135,0","16.170,0","16.125,0","","0,34%"
"17/07/2024","16.095,0","16.155,0","16.165,0","16.096,0","","-0,49%"
"16/07/2024","16.175,0","16.200,0","16.252,5","16.179,5","","0,06%"
"15/07/2024","16.165,0","16.145,0","16.189,0","16.137,5","","0,19%"
"12/07/2024","16.135,0","16.135,0","16.164,5","16.130,0","","-0,34%"
"11/07/2024","16.190,0","16.217,5","16.220,0","16.185,0","","-0,28%"
"10/07/2024","16.235,0","16.287,5","16.300,0","16.238,5","","-0,06%"
"09/07/2024","16.245,0","16.300,0","16.315,0","16.249,5","","-0,03%"
"08/07/2024","16.250,0","16.275,0","16.285,0","16.246,5","","-0,15%"
"05/07/2024","16.275,0","16.332,5","16.345,0","16.270,0","","-0,31%"
"04/07/2024","16.325,0","16.330,0","16.356,5","16.320,0","","-0,24%"
"03/07/2024","16.365,0","16.382,5","16.401,5","16.365,0","","-0,15%"
"02/07/2024","16.390,0","16.355,0","16.402,5","16.347,5","","0,43%"
"01/07/2024","16.320,0","16.352,5","16.412,5","16.315,0","","-0,31%"
"28/06/2024","16.370,0","16.410,0","16.422,5","16.375,0","","-0,15%"
"27/06/2024","16.395,0","16.410,0","16.432,5","16.392,5","","-0,03%"
"26/06/2024","16.400,0","16.420,0","16.450,0","16.400,0","","0,18%"
"25/06/2024","16.370,0","16.382,5","16.465,0","16.360,0","","-0,12%"
"24/06/2024","16.390,0","16.470,0","16.475,0","16.394,0","","-0,33%"
"21/06/2024","16.445,0","16.465,0","16.482,5","16.440,0","","0,12%"
"20/06/2024","16.425,0","16.375,0","16.430,0","16.371,5","","0,40%"
"19/06/2024","16.360,0","16.405,0","16.405,0","16.345,0","","-0,10%"
"18/06/2024","16.376,1","16.486,0","16.486,0","16.360,0","","-0,67%"
"17/06/2024","16.486,0","16.486,5","16.489,7","16.404,9","","0,56%"
"14/06/2024","16.395,0","16.287,5","16.417,5","16.282,5","","0,80%"
"13/06/2024","16.265,0","16.270,0","16.292,5","16.262,5","","-0,15%"
"12/06/2024","16.290,0","16.297,5","16.305,5","16.287,5","","0,03%"
"11/06/2024","16.285,0","16.285,0","16.302,5","16.278,0","","0,06%"
"10/06/2024","16.275,0","16.265,0","16.295,5","16.247,5","","0,53%"
"07/06/2024","16.190,0","16.240,0","16.245,0","16.190,0","","-0,40%"
"06/06/2024","16.255,0","16.285,0","16.287,5","16.257,5","","-0,15%"
"05/06/2024","16.280,0","16.255,0","16.293,5","16.247,5","","0,40%"
"04/06/2024","16.215,0","16.195,0","16.240,0","16.190,0","","-0,06%"
"03/06/2024","16.225,0","16.255,0","16.265,0","16.205,0","","-0,12%"
"31/05/2024","16.245,0","16.265,0","16.267,5","16.237,5","","-0,06%"
"30/05/2024","16.255,0","16.222,5","16.275,0","16.222,5","","0,62%"
"29/05/2024","16.155,0","16.130,0","16.167,5","16.117,5","","0,44%"
"28/05/2024","16.085,0","16.070,0","16.101,5","16.070,0","","0,16%"
"27/05/2024","16.060,0","16.030,0","16.072,5","16.015,0","","0,09%"
"24/05/2024","16.045,0","16.102,3","16.121,0","16.026,0","","-0,36%"
"23/05/2024","16.102,3","16.048,0","16.102,3","16.018,3","","0,70%"
"22/05/2024","15.990,0","15.990,0","16.010,0","15.967,5","","0,00%"
"21/05/2024","15.990,0","16.040,0","16.042,5","15.994,5","","0,13%"
"20/05/2024","15.970,0","15.960,0","15.987,5","15.960,0","","0,13%"
"17/05/2024","15.950,0","15.960,0","15.988,5","15.945,0","","0,19%"
"16/05/2024","15.920,0","15.922,5","15.960,0","15.912,5","","-0,66%"
"15/05/2024","16.025,0","16.080,0","16.095,0","16.026,5","","-0,40%"
"14/05/2024","16.090,0","16.130,0","16.141,5","16.100,0","","0,09%"
"13/05/2024","16.075,0","16.070,0","16.096,5","16.067,5","","0,10%"
"10/05/2024","16.058,9","16.036,5","16.080,0","16.009,7","","0,21%"
"09/05/2024","16.026,0","16.080,5","16.083,3","16.014,8","","-0,09%"
"08/05/2024","16.040,0","16.090,0","16.095,0","16.045,0","","0,00%"
"07/05/2024","16.040,0","16.065,0","16.070,5","16.044,5","","0,12%"
"06/05/2024","16.020,0","15.985,0","16.032,5","15.980,0","","-0,37%"
"03/05/2024","16.080,0","16.075,0","16.107,5","16.072,5","","-0,62%"
"02/05/2024","16.180,0","16.250,0","16.250,0","16.185,0","","-0,08%"
"01/05/2024","16.193,6","16.279,0","16.280,5","16.167,3","","-0,38%"
"30/04/2024","16.255,0","16.265,0","16.282,5","16.259,5","","0,03%"
"29/04/2024","16.250,0","16.237,5","16.265,0","16.229,5","","0,28%"
"26/04/2024","16.205,0","16.200,0","16.229,5","16.197,5","","0,12%"
"25/04/2024","16.185,0","16.205,0","16.223,5","16.179,0","","0,22%"
"24/04/2024","16.150,0","16.150,0","16.180,0","16.145,0","","-0,40%"
"23/04/2024","16.215,0","16.245,0","16.252,5","16.220,0","","-0,09%"
"22/04/2024","16.230,0","16.217,5","16.245,0","16.207,5","","-0,12%"
"19/04/2024","16.250,0","16.265,0","16.290,0","16.255,0","","0,49%"
"18/04/2024","16.170,0","16.185,0","16.195,0","16.155,0","","-0,28%"
"17/04/2024","16.215,0","16.235,0","16.272,5","16.210,0","","0,28%"
"16/04/2024","16.170,0","16.075,0","16.210,0","16.072,5","","0,33%"
"15/04/2024","16.116,7","16.118,0","16.138,0","16.050,8","","0,00%"
"12/04/2024","16.117,0","16.030,5","16.161,3","15.996,0","","0,54%"
"11/04/2024","16.031,0","16.002,0","16.036,5","15.950,5","","0,21%"
"10/04/2024","15.998,0","15.900,0","16.002,0","15.826,0","","0,62%"
"09/04/2024","15.899,0","15.925,0","15.925,0","15.833,0","","-0,16%"
"08/04/2024","15.925,0","15.888,0","15.928,0","15.867,0","","0,54%"
"05/04/2024","15.840,0","15.907,5","15.916,0","15.842,5","","-0,31%"
"04/04/2024","15.890,0","15.937,5","15.937,5","15.890,0","","-0,16%"
"03/04/2024","15.915,0","15.930,0","15.940,0","15.905,0","","0,13%"
